
(datetime.date(2014, 12, 30), 'First', 1L, 2290L, None, 5.335, None, 157371.0, 0.0618716, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20001L, None, 0.8375, None, 314743.0, 0.0309358, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20011L, None, 6.25, None, 5035880.0, 0.00193349, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20023L, None, 19.33, None, 5035880.0, 0.00193349, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20024L, None, 18.03, None, 209828.0, 0.0464037, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20049L, None, 10.51, None, 2517940.0, 0.00386698, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20071L, None, 5.16, None, 314743.0, 0.0309358, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20103L, None, 3.696, None, 157371.0, 0.0618716, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20105L, None, 14.51, None, 125897.0, 0.0773395, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20117L, None, 7.735, None, 279771.0, 0.0348028, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20124L, None, 17.0, None, 209828.0, 0.0464037, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20155L, None, 2.422, None, 279771.0, 0.0348028, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20174L, None, 18.49, None, 12589700.0, 0.000773395, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20175L, None, 45.5, None, 359706.0, 0.0270688, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20177L, None, 6.77, None, 839314.0, 0.0116009, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20183L, None, 5.29, None, 12589700.0, 0.000773395, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20196L, None, 3.44, None, 12589700.0, 0.000773395, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20214L, None, 0.5425, None, 314743.0, 0.0309358, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20222L, None, 15.15, None, 193688.0, 0.0502707, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20248L, None, 8.765, None, 228904.0, 0.0425367, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20251L, None, 4.1, None, 314743.0, 0.0309358, None, None, None, None, None, None)
